order_id,order_date,region,quantity,unit_price,amount
ORD-46001,1/1/2025,North,3,401.64,1204.92
ORD-46002,1/2/2025,South,3,55.49,166.47
ORD-46003,1/2/2025,South,10,43.21,432.10
ORD-46004,1/6/2025,South,8,443.98,3551.84
ORD-46005,1/8/2025,East,9,224.68,2022.12
ORD-46006,1/8/2025,West,2,405.14,810.28
ORD-46007,1/9/2025,North,5,378.13,1890.65
ORD-46008,1/10/2025,West,3,119.07,357.21
ORD-46009,1/10/2025,South,4,273.08,1092.32
ORD-46010,1/10/2025,North,6,307.49,1844.94
ORD-46011,1/11/2025,North,4,302.97,1211.88
ORD-46012,1/11/2025,North,10,274.49,2744.90
ORD-46013,1/11/2025,West,7,299.19,2094.33
ORD-46014,1/11/2025,East,1,148.44,148.44
ORD-46015,1/12/2025,South,1,395.89,395.89
ORD-46016,1/14/2025,South,9,15.82,142.38
ORD-46017,1/16/2025,North,8,278.04,2224.32
ORD-46018,1/16/2025,West,10,428.47,4284.70
ORD-46019,1/17/2025,South,4,34.58,138.32
ORD-46020,1/17/2025,South,2,281.22,562.44
ORD-46021,1/19/2025,South,3,363.41,1090.23
ORD-46022,1/19/2025,North,4,213.45,853.80
ORD-46023,1/19/2025,North,8,219.73,1757.84
ORD-46024,1/19/2025,South,1,386.88,386.88
ORD-46025,1/20/2025,West,1,376.54,376.54
ORD-46026,1/21/2025,East,9,133.66,1202.94
ORD-46027,1/22/2025,West,2,331.20,662.40
ORD-46028,1/22/2025,North,5,168.54,842.70
ORD-46029,1/24/2025,West,3,417.35,1252.05
ORD-46030,1/24/2025,South,10,95.68,956.80
ORD-46031,1/24/2025,North,2,309.82,619.64
ORD-46032,1/25/2025,East,6,336.09,2016.54
ORD-46033,1/27/2025,East,5,203.46,1017.30
ORD-46034,1/27/2025,East,7,406.27,2843.89
ORD-46035,2/2/2025,East,6,174.95,1049.70
ORD-46036,2/2/2025,North,6,431.12,2586.72
ORD-46037,2/3/2025,East,3,112.07,336.21
ORD-46038,2/4/2025,East,10,114.26,1142.60
ORD-46039,2/4/2025,East,3,308.02,924.06
ORD-46040,2/5/2025,West,8,436.56,3492.48
ORD-46041,2/7/2025,North,3,229.35,688.05
ORD-46042,2/7/2025,West,7,388.97,2722.79
ORD-46043,2/8/2025,East,2,394.29,788.58
ORD-46044,2/8/2025,South,7,72.22,505.54
ORD-46045,2/8/2025,East,4,119.99,479.96
ORD-46046,2/9/2025,South,2,161.03,322.06
ORD-46047,2/9/2025,West,4,229.95,919.80
ORD-46048,2/10/2025,North,2,125.81,251.62
ORD-46049,2/10/2025,North,1,324.70,324.70
ORD-46050,2/11/2025,East,2,390.04,780.08
ORD-46051,2/11/2025,South,7,238.41,1668.87
ORD-46052,2/11/2025,East,1,305.10,305.10
ORD-46053,2/12/2025,East,9,321.09,2889.81
ORD-46054,2/12/2025,East,1,330.42,330.42
ORD-46055,2/12/2025,West,4,365.04,1460.16
ORD-46056,2/14/2025,North,3,137.94,413.82
ORD-46057,2/15/2025,East,6,432.95,2597.70
ORD-46058,2/16/2025,North,9,83.74,753.66
ORD-46059,2/16/2025,East,5,225.69,1128.45
ORD-46060,2/16/2025,West,10,167.70,1677.00
ORD-46061,2/17/2025,East,2,159.48,318.96
ORD-46062,2/17/2025,South,10,142.87,1428.70
ORD-46063,2/17/2025,North,8,398.32,3186.56
ORD-46064,2/20/2025,North,3,48.68,146.04
ORD-46065,2/20/2025,South,4,168.99,675.96
ORD-46066,2/22/2025,South,5,88.45,442.25
ORD-46067,2/22/2025,North,10,196.52,1965.20
ORD-46068,2/22/2025,South,7,94.18,659.26
ORD-46069,2/24/2025,South,9,205.05,1845.45
ORD-46070,2/27/2025,West,3,180.56,541.68
ORD-46071,3/1/2025,West,4,327.35,1309.40
ORD-46072,3/2/2025,South,2,329.55,659.10
ORD-46073,3/3/2025,West,8,275.91,2207.28
ORD-46074,3/3/2025,West,4,227.92,911.68
ORD-46075,3/4/2025,North,5,91.62,458.10
ORD-46076,3/4/2025,East,6,393.40,2360.40
ORD-46077,3/4/2025,North,2,424.77,849.54
ORD-46078,3/4/2025,South,6,441.41,2648.46
ORD-46079,3/5/2025,North,10,374.33,3743.30
ORD-46080,3/5/2025,South,6,176.36,1058.16
ORD-46081,3/5/2025,West,4,98.95,395.80
ORD-46082,3/7/2025,West,8,193.76,1550.08
ORD-46083,3/8/2025,West,5,278.14,1390.70
ORD-46084,3/8/2025,North,3,86.19,258.57
ORD-46085,3/8/2025,North,6,133.14,798.84
ORD-46086,3/8/2025,West,6,69.35,416.10
ORD-46087,3/8/2025,East,4,82.76,331.04
ORD-46088,3/9/2025,South,2,81.04,162.08
ORD-46089,3/11/2025,East,6,57.73,346.38
ORD-46090,3/11/2025,West,7,55.72,390.04
ORD-46091,3/12/2025,South,3,295.41,886.23
ORD-46092,3/13/2025,West,2,213.76,427.52
ORD-46093,3/14/2025,East,10,416.99,4169.90
ORD-46094,3/14/2025,East,6,330.72,1984.32
ORD-46095,3/14/2025,West,10,419.96,4199.60
ORD-46096,3/15/2025,East,6,269.85,1619.10
ORD-46097,3/15/2025,South,8,105.74,845.92
ORD-46098,3/18/2025,East,1,164.01,164.01
ORD-46099,3/21/2025,South,2,235.55,471.10
ORD-46100,3/21/2025,South,3,259.93,779.79
ORD-46101,3/21/2025,South,7,249.53,1746.71
ORD-46102,3/24/2025,North,8,172.14,1377.12
ORD-46103,3/26/2025,North,4,197.65,790.60
ORD-46104,3/27/2025,South,6,385.36,2312.16
ORD-46105,3/27/2025,West,4,289.95,1159.80
ORD-46106,3/28/2025,West,2,254.86,509.72
ORD-46107,3/28/2025,South,1,211.35,211.35
ORD-46108,4/1/2025,South,1,449.61,449.61
ORD-46109,4/4/2025,East,6,203.20,1219.20
ORD-46110,4/4/2025,East,8,257.56,2060.48
ORD-46111,4/4/2025,West,2,260.62,521.24
ORD-46112,4/4/2025,East,4,231.18,924.72
ORD-46113,4/4/2025,South,9,81.64,734.76
ORD-46114,4/4/2025,East,2,66.79,133.58
ORD-46115,4/5/2025,West,6,407.88,2447.28
ORD-46116,4/5/2025,East,5,130.08,650.40
ORD-46117,4/6/2025,South,7,444.75,3113.25
ORD-46118,4/6/2025,West,1,162.89,162.89
ORD-46119,4/7/2025,East,10,26.57,265.70
ORD-46120,4/9/2025,South,10,189.45,1894.50
ORD-46121,4/9/2025,North,6,159.77,958.62
ORD-46122,4/10/2025,East,10,407.78,4077.80
ORD-46123,4/10/2025,South,10,385.35,3853.50
ORD-46124,4/10/2025,West,7,259.13,1813.91
ORD-46125,4/10/2025,East,1,60.85,60.85
ORD-46126,4/11/2025,East,3,120.90,362.70
ORD-46127,4/11/2025,South,1,248.29,248.29
ORD-46128,4/11/2025,South,9,67.26,605.34
ORD-46129,4/13/2025,South,1,60.29,60.29
ORD-46130,4/15/2025,East,2,316.55,633.10
ORD-46131,4/15/2025,North,3,316.64,949.92
ORD-46132,4/15/2025,West,8,177.80,1422.40
ORD-46133,4/15/2025,South,1,312.20,312.20
ORD-46134,4/17/2025,North,4,413.77,1655.08
ORD-46135,4/17/2025,West,3,39.86,119.58
ORD-46136,4/18/2025,North,1,86.18,86.18
ORD-46137,4/19/2025,North,10,61.61,616.10
ORD-46138,4/20/2025,West,5,61.57,307.85
ORD-46139,4/20/2025,West,2,195.34,390.68
ORD-46140,4/20/2025,South,1,16.79,16.79
ORD-46141,4/21/2025,South,6,119.05,714.30
ORD-46142,4/22/2025,East,2,118.64,237.28
ORD-46143,4/23/2025,North,1,21.56,21.56
ORD-46144,4/23/2025,East,3,353.60,1060.80
ORD-46145,4/23/2025,South,7,71.52,500.64
ORD-46146,4/24/2025,South,3,385.37,1156.11
ORD-46147,4/24/2025,East,8,258.21,2065.68
ORD-46148,4/25/2025,East,5,102.60,513.00
ORD-46149,4/27/2025,North,2,258.20,516.40
ORD-46150,4/27/2025,North,2,371.79,743.58
ORD-46151,4/28/2025,North,6,241.26,1447.56
ORD-46152,4/28/2025,South,2,403.01,806.02
ORD-46153,4/28/2025,South,4,347.07,1388.28
ORD-46154,5/1/2025,South,5,90.91,454.55
ORD-46155,5/2/2025,South,9,74.96,674.64
ORD-46156,5/4/2025,South,10,435.78,4357.80
ORD-46157,5/4/2025,East,3,183.06,549.18
ORD-46158,5/5/2025,East,10,171.26,1712.60
ORD-46159,5/5/2025,East,6,200.57,1203.42
ORD-46160,5/6/2025,North,9,361.57,3254.13
ORD-46161,5/6/2025,North,6,169.91,1019.46
ORD-46162,5/7/2025,East,3,340.06,1020.18
ORD-46163,5/7/2025,East,4,174.43,697.72
ORD-46164,5/8/2025,West,3,111.98,335.94
ORD-46165,5/8/2025,West,2,211.01,422.02
ORD-46166,5/10/2025,East,8,258.49,2067.92
ORD-46167,5/11/2025,South,5,129.73,648.65
ORD-46168,5/11/2025,West,9,301.82,2716.38
ORD-46169,5/11/2025,South,9,62.34,561.06
ORD-46170,5/12/2025,North,1,373.48,373.48
ORD-46171,5/13/2025,North,1,157.20,157.20
ORD-46172,5/14/2025,South,6,333.69,2002.14
ORD-46173,5/14/2025,South,5,183.69,918.45
ORD-46174,5/16/2025,North,4,22.20,88.80
ORD-46175,5/17/2025,West,10,346.77,3467.70
ORD-46176,5/17/2025,West,2,388.13,776.26
ORD-46177,5/17/2025,West,5,128.99,644.95
ORD-46178,5/19/2025,South,9,105.15,946.35
ORD-46179,5/19/2025,West,5,377.75,1888.75
ORD-46180,5/21/2025,West,10,240.12,2401.20
ORD-46181,5/21/2025,East,9,44.74,402.66
ORD-46182,5/21/2025,North,8,148.91,1191.28
ORD-46183,5/22/2025,North,9,16.27,146.43
ORD-46184,5/22/2025,West,5,221.86,1109.30
ORD-46185,5/22/2025,North,3,278.13,834.39
ORD-46186,5/23/2025,East,2,319.68,639.36
ORD-46187,5/23/2025,South,9,106.69,960.21
ORD-46188,5/24/2025,South,4,84.84,339.36
ORD-46189,5/24/2025,South,8,211.58,1692.64
ORD-46190,5/24/2025,West,7,66.83,467.81
ORD-46191,5/24/2025,East,3,164.05,492.15
ORD-46192,5/26/2025,East,7,423.00,2961.00
ORD-46193,5/26/2025,South,2,360.03,720.06
ORD-46194,5/27/2025,North,9,304.04,2736.36
ORD-46195,5/28/2025,North,6,391.01,2346.06
ORD-46196,6/3/2025,North,5,262.22,1311.10
ORD-46197,6/4/2025,West,6,323.62,1941.72
ORD-46198,6/5/2025,North,9,146.64,1319.76
ORD-46199,6/5/2025,South,10,337.78,3377.80
ORD-46200,6/6/2025,South,5,176.30,881.50
